Id; Prenom; Nom; Sexe; Equipe; Epreuve; Resultat
15;Stephanie;DELICOURT;F;Enjoy And Relax;spd;120
7;Anne;BORGAT;F;CYRNEA;spd;70
41;Omr;SALEH;H;SOLO;spd;100
34;Stéphane;PETTENUZZO;H;LIMULES;spd;85
20;Richard;JAUFFRAUD;H;Imashi;spd;75
27;Christopher;BRATANIC;H;Les Cormorans 2;spd;60
37;Aurélien;LANOISELIER;H;SavoyOuBien?;spd;60
1;Martin;ZAJAC;H;Apneaman, Praha, Czech Republic;spd;50
42;Christian;VOGLER;H;Sportpleizh;spd;50
22;Alexandre;GASS;H;Les Cormorans 1;spd;45
